week,Rory,Ian,Erik,Andrew,Joe,Brian,Chris,Pat,Danny,Blake,Matt,Kevin
0,6,1,7,2,5,8,4,11,9,3,12,10
1,4,7,8,1,6,5,3,9,10,2,12,11
2,5,8,4,1,2,7,3,10,9,6,12,11
3,2,9,4,1,5,8,3,6,10,7,12,11
4,4,6,5,1,3,8,2,9,10,7,12,11
5,5,4,6,1,3,11,2,8,9,7,12,10
6,5,4,7,1,2,10,3,11,8,6,12,9
7,5,3,8,1,2,7,4,11,9,6,12,10
8,4,3,9,1,2,5,6,11,10,7,12,8
9,5,3,9,1,2,4,7,11,10,8,12,6
10,5,2,8,1,3,4,7,11,10,9,12,6
11,4,2,7,1,3,5,6,11,9,10,12,8
12,4,2,6,1,3,5,9,11,8,10,12,7
12,4,2,6,1,3,5,9,11,8,10,12,7
12,4,2,6,1,3,5,9,11,8,10,12,7
13,4,2,6,1,3,5,7,11,9,10,12,8
